model,horizon_days,mean_ic,ic_hac_t,mean_rank_ic,rank_ic_hac_t,mean_q5_q1_bps,q5_q1_hac_t,mean_top20_minus_universe_bps,top20_minus_universe_hac_t,mean_top10_minus_universe_bps,top10_minus_universe_hac_t
OLS,1,0.0232387630827454,2.979348246403417,0.0443601752625185,5.999028904299307,13.698617687343312,1.9062855987851783,2.829039079487899,0.8690448943468471,2.436553724405482,0.6336440127181929
OLS,5,0.0464501383753051,7.340730039353828,0.0617524501873555,8.95802900093294,59.92696242271944,4.9330020770883936,12.441720807884543,2.2334946085933547,12.076091614207206,1.706488493578542
OLS,10,0.0520649544073113,6.589487620257019,0.0715320726809401,8.940680844977594,92.67239392012968,4.318152442627709,20.69066281223173,2.0774575410737084,19.360264585253702,1.5859031116318985
OLS,20,0.0538918663516185,5.6402990875600585,0.0774948899375684,8.194831366172428,127.68204796826848,3.5094416051764163,28.140239844766874,1.6534865930225808,25.376949619772557,1.2602706970369022
RIDGE,1,0.0246038824650741,2.898625645980897,0.0572193710606727,7.016724366793961,9.820183193691047,1.2916980028697087,-0.3055851660437867,-0.0892802140000341,-1.5131165204533894,-0.3670346767796252
RIDGE,5,0.0547856328800949,7.202190999083313,0.0866635925662121,10.920135297088285,64.19352606840206,4.266601712762279,11.255555550795766,1.5463976358397131,11.014650073466695,1.2447647811708622
RIDGE,10,0.0643215592973997,6.303076228658078,0.0990679530147197,9.282383667411622,103.75267329444716,3.793741942686472,14.821450420181096,1.0890704803945066,11.699863334106096,0.7111643625479692
RIDGE,20,0.0708047094885118,5.565997773320157,0.1088007225746055,8.056433268018194,149.59940284083373,3.0822220906830005,23.711597689354647,0.9631809210625184,17.22601683396844,0.5687321932163576
XGB,1,0.0322794151815644,4.766383927465662,0.0430937102846903,7.306813858854115,22.00616513708379,3.649776432686682,9.110176451970954,2.9607079066307453,11.212619726302998,2.7084203672407305
XGB,5,0.0555141108438347,10.629932473981116,0.058219551843146,10.234690471142574,74.76739843566341,7.380182357744485,23.34494425227266,3.837632754321104,26.690232378338955,3.0532169758835987
XGB,10,0.0610416677005832,9.66541147144012,0.0662346850437154,11.013983442130254,111.72920947984782,6.639523205276074,34.508334618682895,3.896056456703709,37.10122527099592,2.8110362812766114
XGB,20,0.0604820549108571,8.236274414759963,0.0677833495133281,10.741146110374412,152.99188021441364,5.867827333866111,46.48911606701749,3.5536247867663837,45.5649702548862,2.2745611618553108
