liquidity_universe,strategy,cost_bps,cagr,sharpe_zero_rf,max_drawdown,mean_one_way_turnover,cagr_pct,max_drawdown_pct,gross_traded_notional_ratio,approx_one_way_turnover
TOP1500,RIDGE_TOP20,0.0,0.0995475350800634,0.4980866003594852,-0.3959521842649998,1.10848812689402,9.954753508006341,-39.595218426499976,1.10848812689402,0.55424406344701
TOP1500,RIDGE_TOP20,5.0,0.0703691043108003,0.3938415352064938,-0.4508238590555466,1.1079375452364228,7.03691043108003,-45.08238590555466,1.1079375452364228,0.5539687726182114
TOP1500,RIDGE_TOP20,10.0,0.0419765602323651,0.2894551999827789,-0.5006934259714545,1.1073882996514008,4.19765602323651,-50.06934259714545,1.1073882996514008,0.5536941498257004
TOP1500,RIDGE_TOP20,20.0,-0.0125364537542409,0.0802605595144679,-0.587215572725465,1.1062935377749394,-1.25364537542409,-58.7215572725465,1.1062935377749394,0.5531467688874697
TOP1500,UNIVERSE_EW,0.0,0.0407216291904104,0.2843731031224385,-0.518600055762443,0.170808735210373,4.07216291904104,-51.8600055762443,0.170808735210373,0.0854043676051865
TOP1500,UNIVERSE_EW,5.0,0.0364246112715929,0.2688472845150981,-0.5243281433446398,0.1707429507198387,3.6424611271592897,-52.432814334463984,0.1707429507198387,0.08537147535991935
TOP1500,UNIVERSE_EW,10.0,0.0321481131761749,0.2533278294428238,-0.530302367091003,0.1706774701345027,3.21481131761749,-53.0302367091003,0.1706774701345027,0.08533873506725136
TOP1500,UNIVERSE_EW,20.0,0.0236561665622647,0.2223077433487719,-0.5420146593519926,0.1705474673793114,2.3656166562264698,-54.20146593519925,0.1705474673793114,0.0852737336896557
TOP1500,XGB_TOP20,0.0,0.1447928419796655,0.5878430907856006,-0.443049527069594,1.4824948284734998,14.47928419796655,-44.3049527069594,1.4824948284734998,0.7412474142367499
TOP1500,XGB_TOP20,5.0,0.1043265421002443,0.4731890862427209,-0.484862161878361,1.4813683805803206,10.43265421002443,-48.4862161878361,1.4813683805803206,0.7406841902901603
TOP1500,XGB_TOP20,10.0,0.0653162752035589,0.3583465229896959,-0.5234863018551237,1.4801873493177893,6.53162752035589,-52.34863018551237,1.4801873493177893,0.7400936746588946
TOP1500,XGB_TOP20,20.0,-0.008532753531107,0.1280607309995296,-0.6311390983478617,1.4776224068117405,-0.8532753531106999,-63.11390983478618,1.4776224068117405,0.7388112034058703
TOP1000,UNIVERSE_EW,0.0,0.0154300307550487,0.1929267118887449,-0.5772655014639908,0.1945047620972472,1.54300307550487,-57.72655014639908,0.1945047620972472,0.0972523810486236
TOP1000,UNIVERSE_EW,5.0,0.0106601551866589,0.1754574062875419,-0.5832120454551999,0.1944275743657655,1.06601551866589,-58.32120454551999,0.1944275743657655,0.09721378718288275
TOP1000,UNIVERSE_EW,10.0,0.0059158413972324,0.1579939321309071,-0.5890705770750189,0.1943506077566203,0.5915841397232401,-58.907057707501885,0.1943506077566203,0.09717530387831015
TOP1000,UNIVERSE_EW,20.0,-0.0034967717800045,0.123084118798311,-0.600529069096198,0.1941974047713669,-0.34967717800045,-60.05290690961979,0.1941974047713669,0.09709870238568345
TOP1000,XGB_TOP20,0.0,0.1289770760502502,0.5427445742785735,-0.4652829045036629,1.4875929772523415,12.897707605025019,-46.52829045036629,1.4875929772523415,0.7437964886261708
TOP1000,XGB_TOP20,5.0,0.0889398018929044,0.4281971487730097,-0.505773158365473,1.4862974573248129,8.89398018929044,-50.5773158365473,1.4862974573248129,0.7431487286624064
TOP1000,XGB_TOP20,10.0,0.0503543872085783,0.3134538870847865,-0.5552249550351811,1.4849152051163743,5.03543872085783,-55.52249550351811,1.4849152051163743,0.7424576025581872
TOP1000,XGB_TOP20,20.0,-0.0226514543610123,0.0833219687685487,-0.6673004365862367,1.481825754889298,-2.26514543610123,-66.73004365862367,1.481825754889298,0.740912877444649
TOP1000,RIDGE_TOP20,0.0,0.075193388264894,0.4154724388576122,-0.4416305383011782,1.0975131951395316,7.5193388264894,-44.16305383011782,1.0975131951395316,0.5487565975697658
TOP1000,RIDGE_TOP20,5.0,0.0469487823664795,0.3097395588380923,-0.4918566456066052,1.097006960821426,4.69487823664795,-49.18566456066052,1.097006960821426,0.548503480410713
TOP1000,RIDGE_TOP20,10.0,0.0194558304237679,0.2038694034308152,-0.537549151287825,1.0965032493572735,1.94558304237679,-53.7549151287825,1.0965032493572735,0.5482516246786368
TOP1000,RIDGE_TOP20,20.0,-0.0333562670477833,-0.0082806159163162,-0.616939498053608,1.0955040335875204,-3.33562670477833,-61.6939498053608,1.0955040335875204,0.5477520167937602
