strategy,year,year_return,year_sharpe_zero_rf,year_return_pct
RIDGE_TOP20,2019,0.2988835564773169,1.143935372533841,29.88835564773169
RIDGE_TOP20,2020,0.1107126513255849,0.4893449307912533,11.07126513255849
RIDGE_TOP20,2021,0.0393682981745402,0.3232218824784339,3.93682981745402
RIDGE_TOP20,2022,-0.1500388630424802,-0.5798754859527246,-15.00388630424802
RIDGE_TOP20,2023,-0.107889259908427,-0.6091913426032157,-10.7889259908427
RIDGE_TOP20,2024,0.184643324829334,0.6096515029799753,18.4643324829334
RIDGE_TOP20,2025,0.1939991690190898,1.188818501254692,19.39991690190898
UNIVERSE_EW,2019,0.2203699119692923,0.8851962947945702,22.03699119692923
UNIVERSE_EW,2020,0.1496224491542845,0.5922821884785441,14.96224491542845
UNIVERSE_EW,2021,0.1378579395398582,0.9360107496414464,13.78579395398582
UNIVERSE_EW,2022,-0.2501453994279325,-1.053934999499644,-25.014539942793252
UNIVERSE_EW,2023,-0.1171545542152956,-0.7106344200115838,-11.71545542152956
UNIVERSE_EW,2024,0.021431389862462,0.24435121334435,2.1431389862462
UNIVERSE_EW,2025,0.1894775327943119,0.9189599033475662,18.94775327943119
XGB_TOP20,2019,0.2979802487948972,1.0620408528964609,29.79802487948972
XGB_TOP20,2020,0.1911586924433694,0.6810796455257682,19.11586924433694
XGB_TOP20,2021,0.1624266998834223,0.9409216283616164,16.24266998834223
XGB_TOP20,2022,-0.1429047378982192,-0.4108087966025516,-14.29047378982192
XGB_TOP20,2023,-0.10624651249061,-0.4441726513074813,-10.624651249061
XGB_TOP20,2024,0.1583765699555404,0.5228133491566931,15.837656995554038
XGB_TOP20,2025,0.2543600253714002,1.0651768816461813,25.436002537140016
