strategy,cost_bps,cagr,sharpe_zero_rf,max_drawdown,mean_one_way_turnover,cagr_pct,max_drawdown_pct,gross_traded_notional_ratio,approx_one_way_turnover
OLS_TOP20,0.0,0.0917755679531062,0.4444488165274764,-0.4385141442638535,1.411547299037757,9.17755679531062,-43.85141442638535,1.411547299037757,0.7057736495188786
OLS_TOP20,5.0,0.0549989299178073,0.329277973070874,-0.4997740106391085,1.4104295634980186,5.4998929917807295,-49.97740106391085,1.4104295634980186,0.7052147817490093
OLS_TOP20,10.0,0.0194885691727999,0.2139365633227218,-0.5577610265352932,1.4092556818189643,1.94885691727999,-55.77610265352932,1.4092556818189643,0.7046278409094822
OLS_TOP20,20.0,-0.0478946628331641,-0.0172880266325171,-0.6677566357277402,1.4067006255149603,-4.7894662833164094,-66.77566357277402,1.4067006255149603,0.7033503127574802
RIDGE_TOP20,0.0,0.0995475350800634,0.4980866003594852,-0.3959521842649998,1.10848812689402,9.954753508006341,-39.595218426499976,1.10848812689402,0.55424406344701
RIDGE_TOP20,5.0,0.0703691043108003,0.3938415352064938,-0.4508238590555466,1.1079375452364228,7.03691043108003,-45.08238590555466,1.1079375452364228,0.5539687726182114
RIDGE_TOP20,10.0,0.0419765602323651,0.2894551999827789,-0.5006934259714545,1.1073882996514008,4.19765602323651,-50.06934259714545,1.1073882996514008,0.5536941498257004
RIDGE_TOP20,20.0,-0.0125364537542409,0.0802605595144679,-0.587215572725465,1.1062935377749394,-1.25364537542409,-58.7215572725465,1.1062935377749394,0.5531467688874697
UNIVERSE_EW,0.0,0.0407216291904104,0.2843731031224385,-0.518600055762443,0.170808735210373,4.07216291904104,-51.8600055762443,0.170808735210373,0.0854043676051865
UNIVERSE_EW,5.0,0.0364246112715929,0.2688472845150981,-0.5243281433446398,0.1707429507198387,3.6424611271592897,-52.432814334463984,0.1707429507198387,0.08537147535991935
UNIVERSE_EW,10.0,0.0321481131761749,0.2533278294428238,-0.530302367091003,0.1706774701345027,3.21481131761749,-53.0302367091003,0.1706774701345027,0.08533873506725136
UNIVERSE_EW,20.0,0.0236561665622647,0.2223077433487719,-0.5420146593519926,0.1705474673793114,2.3656166562264698,-54.20146593519925,0.1705474673793114,0.0852737336896557
XGB_TOP20,0.0,0.1447928419796655,0.5878430907856006,-0.443049527069594,1.4824948284734998,14.47928419796655,-44.3049527069594,1.4824948284734998,0.7412474142367499
XGB_TOP20,5.0,0.1043265421002443,0.4731890862427209,-0.484862161878361,1.4813683805803206,10.43265421002443,-48.4862161878361,1.4813683805803206,0.7406841902901603
XGB_TOP20,10.0,0.0653162752035589,0.3583465229896959,-0.5234863018551237,1.4801873493177893,6.53162752035589,-52.34863018551237,1.4801873493177893,0.7400936746588946
XGB_TOP20,20.0,-0.008532753531107,0.1280607309995296,-0.6311390983478617,1.4776224068117405,-0.8532753531106999,-63.11390983478618,1.4776224068117405,0.7388112034058703
