regime,n_periods,mean_strategy_return,mean_benchmark_return,mean_active_return_bps,active_hac_t,active_positive_share,mean_strategy_return_pct,mean_benchmark_return_pct
UP,113,0.0473853437210497,0.0395699459989574,78.1539772209228,4.49088533633658,0.7256637168141593,4.73853437210497,3.9569945998957397
NEUTRAL,113,0.0008331637081061,0.0013257773032865,-4.926135951803473,-0.786875474848604,0.4601769911504424,0.08331637081061,0.13257773032865
DOWN,113,-0.0390564231881879,-0.0364677649835706,-25.88658204617269,-1.82491590211795,0.3805309734513274,-3.9056423188187903,-3.64677649835706
